RTTFC,4218641,51.87539,0.22038,0,0,1,0.00,0.00,EZY703H,A320,G-EZTA,STN,GLA,1648671963.2,X2,U2215,adsb_icao,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,39.38,-1,none,A3,-1.0,-1,-1,-1.00,,0.7,-11.6,-1,-1,-1,-1,1,142247
RTTFC,4768047,55.46246,-2.78836,14700,-1856,0,307.05,312.00,RYR6HJ,B738,SP-RKP,BUD,EDI,1648671967.5,X2,FR1018,adsb_icao,14125,270,324,0.532,0.0,0.4,312.54,311.58,-1856,none,A3,1013.6,7200,7344,312.89,,0.0,-11.3,14,28,-29,-15,1,109930
RTTFC,5023828,51.89413,0.26059,0,0,1,0.00,0.00,RYR81VT,B738,EI-EML,STN,OPO,1648671943.3,X2,FR8347,adsb_icao,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,315.00,-1,none,A3,-1.0,-1,-1,-1.00,,1.2,-14.7,-1,-1,-1,-1,1,73921
RTTFC,5030895,51.95267,-2.45552,36000,64,0,289.92,440.30,ABD616,B744,TF-AAK,MST,JFK,1648671967.3,X2,CC616,adsb_icao,34775,287,488,0.856,-0.1,-0.4,291.45,291.05,64,none,A5,1013.6,36000,-1,291.09,,0.0,-14.7,301,49,-59,-28,1,81717
RTTFC,4740985,53.18568,-1.05885,41000,-64,0,98.78,471.50,KLM942,E75L,PH-EXS,DUB,AMS,1648671967.2,X2,KL942,adsb_icao,39725,221,432,0.752,0.0,-0.4,98.96,98.93,-32,none,A3,1013.6,41024,41008,-1.00,autopilot|althold|tcas,0.0,-9.2,277,40,-56,-31,1,82818
RTTFC,4347985,53.36134,-2.27186,0,0,1,0.00,0.00,,TWR,TWR,,,1648671966.1,X2,TWR,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,,-1.0,-1,-1,-1.00,,1.4,-3.7,-1,-1,-1,-1,1,271591
RTTFC,4347984,53.35771,-2.27953,0,0,1,0.00,0.00,,TWR,TWR,,,1648671966.3,X2,TWR,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,,-1.0,-1,-1,-1.00,,1.2,-5.2,-1,-1,-1,-1,1,271590
RTTFC,4347987,53.32989,-2.31364,0,0,1,0.00,0.00,,TWR,TWR,,,1648671967.2,X2,TWR,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,,-1.0,-1,-1,-1.00,,0.3,-18.2,-1,-1,-1,-1,1,271593
RTTFC,4805315,50.50946,-1.25348,23300,-2304,0,18.87,414.30,TAP135Y,A20N,CS-TVC,LIS,LHR,1648671967.4,X2,TP1358,adsb_icao,22750,300,416,0.696,0.0,0.2,15.82,15.99,-2336,none,A3,1012.8,12992,-1,-1.00,,0.0,-9.7,292,21,-38,-15,1,147011
RTTFC,4075992,51.87323,-0.37658,700,-64,0,74.23,88.30,DIKBO,C25A,D-IKBO,AMS,,1648671958.8,X2,DIKBO,adsb_icao,675,99,122,0.152,-1.0,0.0,68.55,68.91,64,none,A1,1006.4,3008,-1,73.83,,0.1,-13.9,24,20,-1,-1,1,290931
RTTFC,4347986,53.34093,-2.28328,0,0,1,0.00,0.00,,TWR,TWR,,,1648671966.7,X2,TWR,adsb_icao_nt,-1,-1,-1,-1.000,-1.0,-1.0,-1.00,-1.00,-1,,,-1.0,-1,-1,-1.00,,0.8,-3.6,-1,-1,-1,-1,1,271592
RTTFC,4736066,53.34165,-1.49681,13500,-2304,0,259.66,334.40,KLM59W,B738,PH-BXU,AMS,MAN,1648671967.3,X2,KL1083,adsb_icao,12850,301,354,0.580,-0.8,-12.3,263.50,263.30,-1984,,A0,1013.2,9008,-1,-1.00,,0.0,-7.3,304,26,-28,-11,1,77923
